Trans,Cap,Tphl
0.6,0.7,1885.0
0.93,0.1,402.0
1.27,0.5,1429.0
1.18,1.0,2635.0
0.52,0.3,846.9
0.6,0.2,610.1
0.85,0.5,1381.0
0.35,0.1,334.7
0.93,0.3,886.7
1.43,0.8,2171.0
1.1,0.3,898.9
1.27,0.8,2210.0
0.18,0.4,1052.0
0.18,0.2,567.5
1.02,0.9,2379.0
0.68,0.8,2111.0
1.43,0.7,1926.0
0.43,0.8,2109.0
0.1,1.1,2956.0
0.18,0.3,825.1
0.77,1.1,2896.0
1.35,1.0,2741.0
0.43,0.6,1632.0
0.93,0.8,2166.0
0.35,0.4,1078.0
0.68,0.5,1368.0
1.43,0.6,1684.0
0.6,0.1,366.9
1.02,0.3,892.3
1.02,0.5,1396.0
0.1,0.6,1554.0
0.18,0.8,2039.0
0.43,0.4,1087.0
0.85,0.1,385.3
0.1,0.5,1323.0
0.27,0.3,820.3
0.52,0.2,604.4
1.27,0.9,2473.0
1.1,0.7,1912.0
0.27,0.5,1327.0
0.43,0.9,2406.0
0.1,0.4,1072.0
1.35,0.4,1179.0
0.77,0.4,1128.0
1.43,0.3,939.5
1.1,0.6,1670.0
0.6,0.9,2367.0
0.27,1.0,2561.0
0.68,0.1,369.1
0.6,0.3,855.7
0.52,0.8,2082.0
1.18,0.8,2181.0
1.1,0.9,2444.0
0.85,1.0,2626.0
0.43,0.3,847.1
0.68,0.3,870.4
0.35,1.0,2571.0
1.27,0.2,667.2
1.1,0.1,417.9
0.93,0.9,2449.0
1.18,0.9,2458.0
1.43,0.1,448.6
1.43,0.4,1186.0
1.35,1.1,2929.0
1.35,0.1,441.5
0.35,0.3,830.3
0.85,0.4,1125.0
0.68,0.2,622.2
1.18,0.6,1647.0
1.43,1.1,2970.0
0.85,0.3,885.5
0.93,0.4,1136.0
1.35,0.5,1425.0
1.1,0.2,655.5
0.77,1.0,2690.0
0.18,1.0,2567.0
0.77,0.5,1368.0
0.93,0.7,1946.0
0.77,0.3,876.5
1.18,0.7,1934.0
0.18,1.1,2780.0
0.18,0.1,318.3
0.85,0.7,1875.0
0.43,0.1,348.8
1.35,0.8,2162.0
0.35,0.5,1350.0
0.52,0.6,1588.0
1.18,0.3,917.8
1.27,1.1,2937.0
0.27,0.7,1817.0
0.6,0.8,2208.0
0.18,0.5,1345.0
0.68,1.1,2904.0
0.18,0.6,1546.0
0.1,0.9,2264.0
1.35,0.2,686.3
1.1,0.4,1160.0
0.68,0.6,1609.0
0.43,0.2,597.1
0.68,0.7,1898.0
0.52,1.0,2586.0
0.1,0.3,789.3
0.93,1.1,2908.0
1.02,0.7,1939.0
0.77,0.8,2178.0
1.43,1.0,2667.0
0.1,1.0,2601.0
1.35,0.9,2482.0
1.02,0.2,654.5
0.52,0.1,353.8
1.1,1.0,2675.0
0.68,0.9,2346.0
0.77,0.2,634.2
1.02,0.4,1151.0
0.1,0.7,1782.0
1.18,0.2,670.8
0.1,0.8,2046.0
0.27,0.1,325.8
0.6,0.5,1350.0
0.85,0.8,2165.0
1.18,1.1,2980.0
1.27,0.7,1908.0
0.52,0.9,2321.0
0.1,0.1,299.3
0.93,1.0,2601.0
0.85,0.2,639.3
0.35,0.6,1620.0
0.43,0.5,1347.0
1.02,1.0,2619.0
0.93,0.6,1638.0
0.18,0.9,2318.0
1.43,0.5,1433.0
1.18,0.5,1414.0
0.35,0.7,1888.0
1.18,0.1,425.6
0.6,0.4,1117.0
1.35,0.6,1676.0
1.27,1.0,2770.0
1.1,0.8,2141.0
0.35,0.8,2093.0
0.27,0.2,586.7
0.68,0.4,1114.0
0.6,1.0,2595.0
0.77,0.6,1619.0
0.52,0.7,1843.0
0.85,0.9,2392.0
0.27,1.1,2931.0
1.02,0.1,404.0
0.85,0.6,1620.0
1.43,0.2,694.2
0.77,0.9,2445.0
0.27,0.4,1104.0
1.27,0.6,1666.0
1.02,0.6,1650.0
1.27,0.3,908.5
0.18,0.7,1817.0
1.18,0.4,1163.0
1.1,1.1,2911.0
0.43,0.7,1827.0
1.27,0.1,433.1
1.02,1.1,2913.0
1.35,0.3,932.0
0.52,0.5,1372.0
0.85,1.1,2853.0
0.43,1.1,2856.0
0.1,0.2,552.2
0.93,0.2,646.7
0.43,1.0,2680.0
0.77,0.1,381.1
1.35,0.7,1920.0
0.52,0.4,1113.0
0.27,0.9,2323.0
1.43,0.9,2493.0
0.6,0.6,1647.0
1.02,0.8,2186.0
0.35,1.1,2815.0
0.27,0.8,2070.0
0.93,0.5,1388.0
0.68,1.0,2586.0
0.35,0.9,2336.0
0.77,0.7,1882.0
0.27,0.6,1613.0
1.1,0.5,1404.0
0.6,1.1,2904.0
1.27,0.4,1172.0
0.52,1.1,2860.0
0.35,0.2,582.2
