Trans,Cap,Tplh
0.6,0.5,1823.0
1.43,0.4,1430.0
1.43,0.7,2497.0
0.77,1.1,4007.0
1.43,0.5,1788.0
1.18,0.2,724.7
0.52,0.5,1816.0
0.93,0.6,2140.0
0.52,0.1,383.6
0.18,0.4,1523.0
1.02,0.2,728.9
0.1,0.8,2953.0
0.18,1.0,3785.0
1.27,0.9,3196.0
1.43,0.9,3202.0
0.27,0.3,1082.0
1.35,0.1,373.8
0.43,0.2,746.2
0.93,0.8,3007.0
1.02,0.7,2547.0
0.1,1.1,3942.0
0.77,0.5,1818.0
0.35,1.0,3720.0
0.43,1.1,3891.0
0.52,1.1,3951.0
1.18,0.7,2533.0
0.85,0.4,1437.0
1.27,0.3,1076.0
1.02,0.1,378.8
0.93,0.9,3345.0
1.35,0.3,1076.0
0.68,1.0,3659.0
1.35,0.9,3194.0
0.68,0.2,739.5
0.18,0.7,2491.0
0.43,0.6,2190.0
0.18,0.3,1084.0
0.77,0.9,3218.0
1.27,0.7,2529.0
1.43,1.1,4068.0
1.1,0.9,3328.0
0.35,0.8,3032.0
1.43,0.6,2158.0
1.35,0.5,1782.0
0.6,0.8,2905.0
1.35,0.7,2518.0
0.85,0.2,733.3
0.85,0.9,3280.0
1.18,0.4,1443.0
0.85,0.8,2827.0
0.1,0.7,2607.0
1.02,1.1,4070.0
0.68,0.9,3262.0
0.27,1.0,3585.0
0.43,0.9,3252.0
1.18,0.3,1081.0
0.6,0.4,1445.0
0.85,0.5,1830.0
0.68,0.5,1839.0
0.43,0.7,2578.0
0.77,0.7,2512.0
0.43,0.5,1792.0
0.27,0.9,3187.0
0.93,1.0,3666.0
1.35,1.0,3527.0
1.27,0.4,1448.0
1.02,0.8,2871.0
0.85,1.1,4055.0
1.27,0.5,1788.0
0.52,0.8,2935.0
0.85,0.7,2502.0
1.43,0.1,373.5
0.1,0.1,380.6
0.27,0.1,385.3
0.68,0.7,2501.0
0.35,0.9,3376.0
0.68,0.1,383.4
0.35,0.5,1788.0
0.43,0.8,2924.0
1.35,0.2,722.5
0.93,1.1,3980.0
0.1,0.2,769.2
0.27,0.2,756.4
0.68,0.3,1092.0
1.18,0.8,2935.0
1.1,0.4,1444.0
0.77,0.8,2839.0
0.1,0.6,2259.0
0.1,0.5,1912.0
1.43,0.8,2826.0
0.93,0.7,2629.0
1.18,1.1,3961.0
1.02,1.0,3568.0
0.85,1.0,3678.0
0.27,0.6,2240.0
0.35,0.2,759.7
1.35,0.8,2863.0
1.27,0.1,375.0
1.27,0.8,2868.0
0.52,1.0,3626.0
1.27,0.2,724.1
0.27,0.7,2558.0
1.1,0.2,727.3
0.52,0.9,3291.0
0.1,0.3,1092.0
0.52,0.4,1471.0
1.18,0.1,376.1
1.1,0.8,2962.0
0.68,0.8,2829.0
0.52,0.7,2536.0
0.77,0.1,381.3
1.02,0.9,3190.0
1.18,0.5,1794.0
0.77,0.2,733.6
0.35,0.4,1434.0
0.77,1.0,3633.0
0.35,0.7,2705.0
0.18,0.6,2180.0
0.35,0.3,1108.0
0.43,0.1,383.6
1.43,1.0,3659.0
0.1,1.0,3623.0
0.85,0.1,380.7
0.27,0.8,2872.0
1.18,0.6,2126.0
0.18,0.2,756.0
1.1,0.3,1084.0
1.02,0.6,2209.0
0.6,0.2,737.5
1.27,1.1,3952.0
0.18,1.1,4127.0
0.85,0.3,1090.0
0.93,0.2,733.2
0.43,0.4,1465.0
0.35,0.1,384.6
0.77,0.4,1435.0
0.18,0.8,2868.0
1.1,0.6,2131.0
0.35,1.1,4062.0
0.77,0.6,2177.0
0.6,0.1,382.8
1.1,0.1,377.4
0.6,0.3,1105.0
0.68,0.6,2169.0
1.27,1.0,3521.0
0.27,1.1,4009.0
0.52,0.3,1088.0
1.1,1.0,3671.0
1.02,0.4,1439.0
0.52,0.6,2142.0
1.02,0.5,1808.0
0.18,0.1,385.1
0.6,1.0,3546.0
0.6,0.7,2572.0
1.1,0.5,1797.0
1.02,0.3,1097.0
0.6,1.1,3920.0
1.35,1.1,3969.0
0.18,0.9,3404.0
0.1,0.4,1451.0
0.43,0.3,1102.0
1.1,0.7,2524.0
0.77,0.3,1095.0
0.93,0.4,1472.0
0.6,0.9,3227.0
1.43,0.3,1070.0
1.18,1.0,3631.0
0.18,0.5,1866.0
0.43,1.0,3572.0
0.27,0.4,1551.0
1.35,0.6,2141.0
0.27,0.5,1898.0
0.1,0.9,3297.0
0.35,0.6,2164.0
0.52,0.2,741.2
1.43,0.2,720.9
1.1,1.1,4000.0
0.85,0.6,2174.0
0.6,0.6,2207.0
1.27,0.6,2162.0
0.68,0.4,1437.0
1.35,0.4,1438.0
0.93,0.3,1087.0
0.93,0.5,1803.0
0.93,0.1,380.6
0.68,1.1,4031.0
1.18,0.9,3292.0
