Gate,VOL,Trans,Cap,Tphl,Tplh
010,0.64,50,5.76,0.03513,0.02247
010,0.75,30,2.88,0.01772,0.01081
010,0.61,30,184.32,0.4591,0.3127
010,0.79,120,184.32,0.3662,0.27
010,0.8,350,11.52,0.09319,0.04054
010,0.7,350,7.00,0.08886,0.04357
010,0.69,250,5.76,0.07023,0.03656
010,0.63,350,92.16,0.354,0.2382
010,0.78,10,92.16,0.1695,0.1266
010,0.63,30,184.32,0.4314,0.3011
010,0.77,300,7.00,0.07279,0.03025
010,0.67,90,5.76,0.04453,0.02674
010,0.8,70,7.00,0.03524,0.02081
010,0.74,200,2.88,0.04368,0.01687
010,0.76,150,30.00,0.1109,0.07232
010,0.64,200,150.00,0.4223,0.2894
010,0.73,200,11.52,0.07967,0.04576
010,0.73,300,11.52,0.09619,0.05182
010,0.72,10,23.04,0.05087,0.03648
010,0.61,200,150.00,0.4562,0.303
010,0.73,70,5.76,0.03569,0.02144
010,0.67,250,184.32,0.4834,0.3404
010,0.72,120,30.00,0.1055,0.07108
010,0.65,150,184.32,0.4695,0.3224
010,0.7,150,46.08,0.1512,0.1042
010,0.72,300,150.00,0.4025,0.2821
010,0.72,30,5.76,0.02475,0.01656
010,0.61,120,23.04,0.1076,0.07136
010,0.79,300,92.16,0.2688,0.1836
010,0.8,250,184.32,0.4093,0.2943
010,0.64,50,2.88,0.02675,0.01626
010,0.77,250,184.32,0.4221,0.3025
010,0.64,70,184.32,0.4412,0.307
010,0.63,70,92.16,0.2473,0.1664
010,0.79,70,184.32,0.3433,0.2602
010,0.72,10,150.00,0.2952,0.2137
010,0.72,30,92.16,0.1906,0.1391
010,0.8,350,23.04,0.1311,0.07095
010,0.63,90,184.32,0.4632,0.3198
010,0.67,50,30.00,0.08516,0.05918
010,0.76,150,2.88,0.03648,0.01483
010,0.6,300,184.32,0.5896,0.3929
010,0.63,30,7.00,0.03087,0.02108
010,0.66,10,7.00,0.02187,0.01511
010,0.61,350,30.00,0.2086,0.1291
010,0.7,150,92.16,0.2429,0.1697
010,0.73,350,150.00,0.4153,0.2888
010,0.65,250,30.00,0.1637,0.1038
010,0.8,200,92.16,0.2309,0.163
010,0.73,20,7.00,0.02326,0.01623
010,0.61,20,30.00,0.08534,0.05695
