Trans,Cap,Tphl
90,5.76,0.04453
250,184.32,0.4834
50,30.0,0.08516
150,30.0,0.1242
300,30.0,0.1725
350,92.16,0.3312
30,11.52,0.03845
20,92.16,0.2049
70,2.88,0.02962
120,7.0,0.05562
250,30.0,0.1586
120,2.88,0.03879
10,150.0,0.3249
70,23.04,0.07839
120,92.16,0.2442
350,23.04,0.1639
350,5.76,0.08734
300,150.0,0.436
200,150.0,0.3948
20,150.0,0.3242
50,11.52,0.04648
10,11.52,0.03097
90,92.16,0.234
10,5.76,0.01884
30,5.76,0.02629
150,11.52,0.07786
150,7.0,0.06204
250,2.88,0.05615
120,23.04,0.09784
10,46.08,0.1051
200,30.0,0.143
90,150.0,0.3524
20,11.52,0.03467
70,5.76,0.03946
250,11.52,0.1006
350,184.32,0.5271
50,46.08,0.1195
120,46.08,0.1465
50,2.88,0.0253
70,7.0,0.0429
10,23.04,0.05547
200,7.0,0.07175
30,150.0,0.3295
120,184.32,0.437
300,184.32,0.5064
120,30.0,0.1124
10,184.32,0.3905
20,46.08,0.1072
70,92.16,0.2261
30,92.16,0.2107
150,92.16,0.2551
300,92.16,0.312
350,11.52,0.1189
90,7.0,0.04847
200,5.76,0.06563
150,184.32,0.449
250,46.08,0.1968
250,150.0,0.416
90,23.04,0.08611
250,92.16,0.2929
70,184.32,0.4144
20,30.0,0.07342
30,30.0,0.07714
50,92.16,0.2166
200,46.08,0.1776
50,150.0,0.3397
120,150.0,0.3679
300,5.76,0.0805
250,23.04,0.1392
250,7.0,0.08046
10,2.88,0.01278
200,23.04,0.1249
30,2.88,0.01974
300,23.04,0.1515
10,92.16,0.2009
150,23.04,0.109
350,7.0,0.09507
350,30.0,0.1863
30,184.32,0.3958
150,150.0,0.3792
150,46.08,0.1578
150,2.88,0.04355
30,23.04,0.0628
90,184.32,0.4238
20,184.32,0.3927
120,5.76,0.05108
30,46.08,0.1112
200,184.32,0.4703
150,5.76,0.05695
350,2.88,0.06674
250,5.76,0.07394
10,30.0,0.06977
350,150.0,0.4542
70,11.52,0.054
300,46.08,0.2145
300,11.52,0.1095
50,5.76,0.03364
70,30.0,0.09306
20,5.76,0.02264
70,150.0,0.3467
20,2.88,0.01643
300,7.0,0.08774
50,7.0,0.03665
300,2.88,0.06165
70,46.08,0.1265
350,46.08,0.2312
90,2.88,0.03357
30,7.0,0.0289
90,30.0,0.1007
50,23.04,0.07078
120,11.52,0.06983
90,46.08,0.1344
200,92.16,0.2752
10,7.0,0.02145
20,23.04,0.05881
90,11.52,0.06067
200,2.88,0.05009
200,11.52,0.08966
50,184.32,0.4088
20,7.0,0.02524
