Trans,Cap,Tplh
200,11.52,0.04576
300,11.52,0.05182
70,5.76,0.02144
350,150.0,0.2888
20,7.0,0.01623
120,7.0,0.02858
30,92.16,0.1374
200,2.88,0.01793
70,92.16,0.1452
90,184.32,0.2792
20,184.32,0.2637
90,46.08,0.0865
300,184.32,0.3273
120,5.76,0.02543
30,150.0,0.2165
50,7.0,0.02149
70,7.0,0.02398
20,11.52,0.02245
30,5.76,0.01632
30,30.0,0.05043
10,184.32,0.2585
300,92.16,0.1981
50,92.16,0.1413
150,150.0,0.2447
350,2.88,0.01786
30,184.32,0.2643
50,30.0,0.05494
200,7.0,0.03327
70,2.88,0.0145
300,150.0,0.2789
150,7.0,0.03066
10,23.04,0.03613
120,23.04,0.05925
150,184.32,0.2922
50,5.76,0.01925
350,92.16,0.2083
350,184.32,0.3364
20,2.88,0.00993
70,150.0,0.2251
90,5.76,0.02323
250,5.76,0.03074
350,23.04,0.08544
20,5.76,0.01449
250,92.16,0.187
30,23.04,0.04072
250,150.0,0.2667
300,23.04,0.08108
350,11.52,0.05417
200,92.16,0.1759
120,150.0,0.2374
250,30.0,0.08985
120,30.0,0.07022
90,2.88,0.01552
70,11.52,0.03231
20,92.16,0.1337
50,184.32,0.2724
300,5.76,0.03181
300,2.88,0.01813
10,7.0,0.01387
150,11.52,0.04174
150,92.16,0.1646
90,11.52,0.03492
10,5.76,0.01216
200,5.76,0.02923
350,30.0,0.1008
30,11.52,0.02483
250,46.08,0.1182
50,150.0,0.223
120,92.16,0.1576
120,2.88,0.01657
30,2.88,0.01121
120,184.32,0.2862
300,30.0,0.09587
250,2.88,0.01814
50,2.88,0.01316
300,46.08,0.1258
200,150.0,0.2564
350,46.08,0.1324
70,184.32,0.2732
350,5.76,0.03262
10,30.0,0.0456
10,11.52,0.02015
150,23.04,0.06401
200,46.08,0.1099
90,7.0,0.02608
250,11.52,0.04902
20,46.08,0.06997
150,46.08,0.1002
350,7.0,0.03787
30,7.0,0.01828
120,11.52,0.03866
250,23.04,0.07611
10,2.88,0.00814
90,23.04,0.05398
10,46.08,0.06807
20,23.04,0.03832
250,7.0,0.03513
200,30.0,0.08335
300,7.0,0.03665
50,46.08,0.07729
50,11.52,0.02885
150,30.0,0.07557
120,46.08,0.09354
20,150.0,0.2172
150,2.88,0.01731
10,92.16,0.1339
50,23.04,0.04533
90,92.16,0.1499
90,30.0,0.06418
150,5.76,0.02715
30,46.08,0.07261
20,30.0,0.04789
70,23.04,0.04988
70,46.08,0.08181
200,184.32,0.3058
250,184.32,0.3147
90,150.0,0.2318
70,30.0,0.05954
10,150.0,0.2119
200,23.04,0.07071
