Trans,Cap,Tphl
2.0,5.0,11.04
2.0,4.0,8.952
0.4,1.2,2.746
0.4,4.0,8.825
0.4,3.0,6.658
0.4,0.1,0.2897
0.8,3.0,7.068
2.0,1.2,2.911
0.8,5.0,10.17
1.5,0.1,0.3914
2.0,0.5,1.317
0.8,0.5,1.217
1.5,5.0,10.55
3.0,4.0,9.107
1.5,3.0,7.123
0.1,0.1,0.2677
3.0,3.0,6.977
0.4,5.0,10.15
0.1,0.5,1.139
3.0,0.5,1.406
1.5,0.5,1.276
2.0,0.1,0.4357
3.0,5.0,10.68
0.1,1.2,2.721
1.5,1.2,2.827
3.0,1.2,2.957
0.1,5.0,9.98
1.5,4.0,9.027
0.8,1.2,2.805
2.0,3.0,7.152
0.8,4.0,8.82
3.0,0.1,0.5145
0.1,4.0,8.586
0.1,3.0,6.72
0.4,0.5,1.193
0.8,0.1,0.3261
