Trans,Cap,Data
10.0,4.32,18.97
5.0,11.52,44.89
5.0,115.2,432.5
80.0,0.36,5.793
7.5,0.36,3.9269999999999996
15.0,2.88,14.2
15.0,0.36,4.562
320.0,2.88,29.549999999999997
80.0,0.72,8.961
15.0,11.52,46.3
20.0,11.52,47.13
15.0,23.04,88.29
10.0,46.08,173.8
80.0,46.08,180.89999999999998
20.0,34.56,132.7
40.0,4.32,22.92
2.5,46.08,172.0
0.0,46.08,172.1
5.0,5.76,23.77
2.5,1.44,7.3759999999999994
320.0,115.2,466.90000000000003
0.0,1.44,6.914
2.5,92.16,345.0
10.0,1.44,8.323
0.0,0.72,4.199
340.0,23.04,130.7
10.0,0.36,4.215
80.0,2.88,21.21
10.0,5.76,24.16
320.0,23.04,128.39999999999998
5.0,2.88,12.9
20.0,0.36,4.849
40.0,5.76,28.189999999999998
10.0,23.04,87.84
15.0,46.08,172.1
2.5,2.88,12.48
20.0,2.88,14.91
40.0,34.56,134.79999999999998
340.0,46.08,215.9
20.0,115.2,425.5
20.0,23.04,89.2
40.0,11.52,49.37
5.0,34.56,129.7
80.0,115.2,433.90000000000003
80.0,92.16,351.7
0.0,4.32,17.28
40.0,2.88,17.540000000000003
160.0,5.76,40.6
40.0,115.2,435.59999999999997
0.0,2.88,12.07
40.0,0.72,7.888
10.0,34.56,129.6
340.0,115.2,472.3
40.0,46.08,176.2
160.0,0.36,4.833
40.0,1.44,11.49
2.5,0.72,4.644
20.0,1.44,9.628
10.0,115.2,432.5
7.5,1.44,8.034
340.0,5.76,50.29
80.0,1.44,13.77
2.5,0.36,3.262
0.0,115.2,431.3
160.0,46.08,192.3
40.0,92.16,348.0
340.0,92.16,384.5
15.0,115.2,433.59999999999997
340.0,1.44,15.799999999999999
80.0,23.04,96.71
40.0,23.04,91.61
160.0,11.52,65.02
0.0,0.36,2.847
10.0,11.52,45.42
7.5,34.56,130.0
5.0,23.04,87.48
7.5,4.32,18.59
2.5,23.04,86.64
320.0,5.76,49.44
160.0,115.2,445.5
5.0,4.32,18.29
340.0,0.36,0.3771
160.0,23.04,107.4
5.0,46.08,171.9
2.5,115.2,427.5
20.0,5.76,25.48
160.0,0.72,9.127
2.5,11.52,44.650000000000006
340.0,0.72,6.447
10.0,2.88,13.73
7.5,5.76,24.110000000000003
2.5,34.56,129.20000000000002
0.0,34.56,128.8
10.0,0.72,5.656
15.0,5.76,24.93
10.0,92.16,344.59999999999997
15.0,92.16,347.0
7.5,11.52,45.230000000000004
80.0,11.52,54.54
20.0,92.16,343.5
0.0,5.76,22.88
7.5,46.08,172.20000000000002
15.0,0.72,6.168
15.0,4.32,19.57
160.0,1.44,15.78
7.5,0.72,5.3
160.0,4.32,33.620000000000005
20.0,4.32,20.39
340.0,2.88,29.650000000000002
2.5,5.76,23.349999999999998
20.0,0.72,6.594
5.0,1.44,7.708000000000001
15.0,34.56,130.8
340.0,4.32,40.81
80.0,5.76,33.31
320.0,92.16,385.59999999999997
340.0,34.56,173.89999999999998
320.0,0.72,6.93
15.0,1.44,8.926
340.0,11.52,80.95
5.0,0.72,4.997
320.0,4.32,40.05
7.5,23.04,87.84
320.0,11.52,79.57000000000001
5.0,0.36,3.6229999999999998
7.5,2.88,13.23
160.0,2.88,25.56
80.0,4.32,27.58
7.5,115.2,429.5
2.5,4.32,17.94
160.0,92.16,362.90000000000003
0.0,23.04,86.47999999999999
320.0,34.56,171.29999999999998
40.0,0.36,5.543
320.0,0.36,1.0010000000000001
80.0,34.56,138.8
160.0,34.56,149.5
5.0,92.16,345.09999999999997
20.0,46.08,173.89999999999998
320.0,1.44,15.919999999999998
0.0,11.52,43.89
0.0,92.16,343.40000000000003
7.5,92.16,340.5
320.0,46.08,213.4
