Trans,Cap,Tplh
1.5,5.0,0.0
3.0,3.0,6562.0
0.4,4.0,0.0
3.0,1.2,2917.0
2.0,0.5,1333.0
0.1,0.1,227.0
0.8,3.0,0.0
0.1,0.5,1039.0
0.8,4.0,0.0
1.5,1.2,2654.0
3.0,0.5,1518.0
1.5,3.0,0.0
2.0,3.0,6505.0
0.4,0.5,1080.0
1.5,4.0,0.0
1.5,0.5,1253.0
0.1,3.0,0.0
3.0,5.0,0.0
0.4,0.1,269.7
0.1,5.0,0.0
2.0,1.2,2742.0
2.0,0.1,431.5
0.8,1.2,2539.0
0.8,0.1,303.6
3.0,0.1,491.6
0.8,0.5,1125.0
2.0,4.0,0.0
2.0,5.0,0.0
1.5,0.1,407.1
0.1,4.0,0.0
0.4,3.0,0.0
0.1,1.2,2456.0
0.4,5.0,0.0
3.0,4.0,0.0
0.4,1.2,2496.0
0.8,5.0,0.0
