Trans,Cap,Tphl
0.1,3.0,8.559
0.8,1.2,3.512
0.8,0.5,1.588
0.8,4.0,11.83
1.5,3.0,9.253
2.0,4.0,12.46
0.4,1.2,3.447
0.1,4.0,11.35
0.8,3.0,8.612
2.0,3.0,8.814
0.4,0.5,1.499
3.0,5.0,15.2
0.1,0.1,0.3045
0.4,3.0,8.69
3.0,1.2,4.041
0.1,5.0,14.2
0.8,0.1,0.4439
1.5,4.0,11.74
1.5,5.0,14.32
2.0,1.2,3.74
2.0,0.1,0.6577
0.4,5.0,14.64
3.0,0.5,1.992
1.5,0.5,1.719
3.0,3.0,9.417
2.0,0.5,1.807
0.1,0.5,1.535
3.0,0.1,0.7956
0.4,4.0,12.3
3.0,4.0,12.03
1.5,0.1,0.5817
2.0,5.0,15.24
0.4,0.1,0.3598
0.8,5.0,14.16
1.5,1.2,3.744
0.1,1.2,3.456
